Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev,CV
GGG,SSP585,0.9,1.0600203234271797,0.9715878306307556,1.2283181120800366,32.38401,-94.71149,124.0,0.24219373513447323
5C1,SSP585,0.9,0.9273822161842566,0.8353418606625873,1.028637552358831,29.72393,-98.69464,422.1,0.2084315272850118
NFW,SSP585,0.9,1.0308144732388211,0.8834038767835811,1.1532416187816603,32.78098,-97.43648,198.0,0.2617713943715288
SNK,SSP585,0.9,1.1397350445526526,1.0154907028316396,1.346013222855378,32.69339,-100.95047,741.0,0.289999435924574
UVA,SSP585,0.9,1.0050917410186562,0.7670088480104045,1.3922482792908533,29.21133,-99.74358,287.0,0.6220720017525677
BKS,SSP585,0.9,1.1921405226544763,0.9502764731771618,1.6016843682936026,27.20667,-98.12111,34.0,0.5464187172045668
GDJ,SSP585,0.9,1.1410550149310614,0.954793094393516,1.3480796804538393,32.44442,-97.81694,237.0,0.344669258637003
SLR,SSP585,0.9,1.0879569736496153,0.9009093160203324,1.329620227041738,33.16,-95.62,149.0,0.39405134707052786
TRL,SSP585,0.9,1.0476278114828923,0.9268521995548455,1.1858318616553654,32.71,-96.27,145.0,0.24720579127614056
PRX,SSP585,0.9,1.0079347188607175,0.7980714987850418,1.2068476073494785,33.63661,-95.45075,167.0,0.4055581189092107
CLL,SSP585,0.9,1.000650027446686,0.9032867867257414,1.1076072463332978,30.58806,-96.36389,98.0,0.20418773197749446
LRD,SSP585,0.9,0.9304790096607416,0.7779663196301755,1.0801211940902071,27.5438,-99.46153,155.0,0.32473045745567025
LZZ,SSP585,0.9,1.1227658181101627,0.9214751866350572,1.2872743191292313,31.10619,-98.19589,370.3,0.3258018071033606
11R,SSP585,0.9,0.8049751494116911,0.6801793429169236,0.952752648186576,30.21889,-96.37417,94.0,0.3386108322335915
SEP,SSP585,0.9,1.1506287857987456,0.9271408443471052,1.4379482195867648,32.21533,-98.17767,402.0,0.44393759442152875
