Station,return_period,GEV,Gumble,mean,lat,lon,elev
GGG,0.99,6.357906747519596,7.330169043449757,6.844037895484677,32.38401,-94.71149,124.0
5C1,0.99,9.842753853066762,7.076284729899374,8.459519291483069,29.72393,-98.69464,422.1
NFW,0.99,5.793659373390804,6.760649995795586,6.277154684593195,32.78098,-97.43648,198.0
SNK,0.99,4.517099142137568,6.033093150766735,5.275096146452151,32.69339,-100.95047,741.0
UVA,0.99,8.234751139102578,6.376794630539138,7.305772884820858,29.21133,-99.74358,287.0
BKS,0.99,5.349305129253635,6.098813004379535,5.724059066816585,27.20667,-98.12111,34.0
GDJ,0.99,4.442470647652723,6.831243634544372,5.636857141098547,32.44442,-97.81694,237.0
SLR,0.99,7.985997052662587,6.495382875243812,7.2406899639532,33.16,-95.62,149.0
TRL,0.99,8.92549390160774,7.323767933661692,8.124630917634716,32.71,-96.27,145.0
PRX,0.99,9.99631456356523,8.401773254510728,9.19904390903798,33.63661,-95.45075,167.0
CLL,0.99,6.73921116499686,7.574050206329343,7.156630685663101,30.58806,-96.36389,98.0
LRD,0.99,16.92580949470183,6.335218484939569,11.6305139898207,27.5438,-99.46153,155.0
LZZ,0.99,4.2423765230389225,6.885104891269149,5.563740707154036,31.10619,-98.19589,370.3
SEP,0.99,6.140423639197273,6.561658623691721,6.351041131444497,32.21533,-98.17767,402.0
HQZ,0.99,6.688622782710681,6.379875358043464,6.534249070377072,32.74696,-96.53042,136.0
JXI,0.99,5.258947674421705,6.306280471611932,5.782614073016818,32.7,-94.95,127.0
GDP,0.99,33.898179307188606,5.90222313206652,19.90020121962756,31.83312,-104.80978,1662.0
DFW,0.99,9.528468111099285,7.275077120975726,8.401772616037505,32.89683,-97.038,182.0
LVJ,0.99,11.672960019245584,8.395076612871414,10.0340183160585,29.5189,-95.2417,13.164371
HYI,0.99,10.613383647380866,8.022779417193316,9.318081532287092,29.89275,-97.863,182.0
