Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.99,9.038100088331795,6.882267303721608,14.666596785639344,32.38401,-94.71149,124.0
5C1,SSP245,0.99,7.435492402311085,5.99371701770565,11.015192584685217,29.72393,-98.69464,422.1
NFW,SSP245,0.99,7.265797681822218,5.823064449760554,11.28195174992841,32.78098,-97.43648,198.0
SNK,SSP245,0.99,7.0658734448939375,5.754549522226681,10.683792353929766,32.69339,-100.95047,741.0
UVA,SSP245,0.99,7.976290037514991,4.128169794408072,15.972864056335272,29.21133,-99.74358,287.0
BKS,SSP245,0.99,9.80141897697668,5.827151792080502,22.869304836198165,27.20667,-98.12111,34.0
GDJ,SSP245,0.99,8.262987174645364,4.517803806553337,18.03737498497434,32.44442,-97.81694,237.0
SLR,SSP245,0.99,7.480566909340321,3.963475126726399,11.09164561895073,33.16,-95.62,149.0
TRL,SSP245,0.99,8.398048309337751,7.022182605634028,10.729908875752225,32.71,-96.27,145.0
PRX,SSP245,0.99,9.252739471038169,7.254164629700849,12.287104954087331,33.63661,-95.45075,167.0
CLL,SSP245,0.99,7.477799777656179,6.00381810932752,9.467877888749886,30.58806,-96.36389,98.0
LRD,SSP245,0.99,8.067036014298155,5.860017955893369,13.357665035878696,27.5438,-99.46153,155.0
LZZ,SSP245,0.99,6.726322223380751,3.9272978257671056,8.828741859230112,31.10619,-98.19589,370.3
11R,SSP245,0.99,8.543032197977452,6.518444900930105,13.315173922714022,30.21889,-96.37417,94.0
SEP,SSP245,0.99,8.698789781268685,5.387092278104578,16.15761901770596,32.21533,-98.17767,402.0
HQZ,SSP245,0.99,7.171583444546792,5.940964184919505,8.706358753208727,32.74696,-96.53042,136.0
JXI,SSP245,0.99,8.845312200944383,5.710698988554976,17.34574957199923,32.7,-94.95,127.0
GDP,SSP245,0.99,9.656799315722632,5.531440460192199,18.48526851155848,31.83312,-104.80978,1662.0
DFW,SSP245,0.99,7.355249373375061,6.386715759027306,9.36869808591951,32.89683,-97.038,182.0
LVJ,SSP245,0.99,10.336181467982025,7.461943723102093,15.491104529879436,29.5189,-95.2417,13.164371
PWG,SSP245,0.99,9.831373985529073,7.035072832944729,15.906598980949337,31.48492,-97.31653,180.0
HYI,SSP245,0.99,11.919561197621936,6.948357104860655,25.30368038507287,29.89275,-97.863,182.0
BRO,SSP245,0.99,8.42669062778852,5.868027862018026,16.02727185687478,25.91461,-97.42313,6.0
3T5,SSP245,0.99,7.724861836249848,6.229130747659903,11.876998861212169,29.91,-96.95,99.0
GYB,SSP245,0.99,8.460834559444304,5.769624592741118,12.04887660383922,30.17,-96.98,148.0
ADS,SSP245,0.99,8.981981818418237,4.9300145043580645,24.845957086285875,32.96856,-96.83645,196.0
HLR,SSP245,0.99,10.370759478997083,6.935766601419604,18.27625977637052,31.1387,-97.7145,283.0
AXH,SSP245,0.99,8.353409357402032,6.329801607560865,14.097683915507703,29.50614,-95.47692,20.7
AFW,SSP245,0.99,7.605283847364923,5.686717847293385,12.634248172148968,32.9716,-97.31788,204.81914
GYI,SSP245,0.99,7.999416909052998,5.534189900926513,12.908794466445574,33.71411,-96.67367,228.0
RAS,SSP245,0.99,9.47143078108606,5.111200833007152,17.263601596968762,27.81,-97.09,2.0
TYR,SSP245,0.99,8.245268210168156,6.796517682136529,11.773252652642832,32.35414,-95.40239,166.0
VCT,SSP245,0.99,9.265329773639568,7.285787910064042,13.905866927805596,28.8614,-96.9303,36.0
COM,SSP245,0.99,7.22008009644393,4.231686686437413,10.53635295198326,31.84114,-99.40361,517.2
6R6,SSP245,0.99,6.666218130690138,4.0418768555388045,10.71764382029223,30.04602,-102.21291,702.0
ATT,SSP245,0.99,7.616903309052539,6.291982024893164,9.340751054877977,30.32081,-97.76042,203.0
FST,SSP245,0.99,7.037978713513416,5.610638937681372,10.154819955299374,30.91194,-102.91667,917.0
UTS,SSP245,0.99,8.384322019953427,6.885421518368424,11.580782157023426,30.74689,-95.58717,112.0
INJ,SSP245,0.99,7.114406166205607,4.318492858169568,9.907453041159425,32.08361,-97.09722,209.0
ECU,SSP245,0.99,7.453689580751271,5.422949727609606,14.311220047587751,29.94692,-100.17385,723.0
HRX,SSP245,0.99,6.8564701794859495,4.469200523234196,14.450421554509562,34.85776,-102.32641,1153.0
JCT,SSP245,0.99,7.723538329651433,6.151105776606027,11.549345792530035,30.51083,-99.76639,522.0
F05,SSP245,0.99,7.397546366303123,5.705694636579236,11.993404574489366,34.22567,-99.28375,386.0
RPH,SSP245,0.99,7.89211220607194,6.384847597326473,11.559673590024936,33.11,-98.555,344.0
PIL,SSP245,0.99,10.629103829812394,6.771099683603461,20.098036728473907,26.1597,-97.33781,6.0
RKP,SSP245,0.99,10.552009475227496,6.8370459575212505,22.36636212061176,28.08361,-97.04639,8.0
T82,SSP245,0.99,8.916544965327535,6.383221263011811,16.39088855624496,30.24325,-98.90919,517.0
PEZ,SSP245,0.99,7.222292435427183,3.2005994310029395,12.42734971797876,28.95419,-98.51998,131.1
SJT,SSP245,0.99,7.218813880290161,6.090821577399121,9.227893027591724,31.35167,-100.495,582.0
AQO,SSP245,0.99,7.955399808288609,5.91297022427592,13.210115120089265,30.78361,-98.66194,336.0
LUD,SSP245,0.99,7.986578378477406,6.33205764178784,13.001020567389084,33.25425,-97.5805,319.0
PYX,SSP245,0.99,8.11174218581006,5.439526371491519,14.75747374353355,36.414,-100.75,889.0
GPM,SSP245,0.99,7.018692977691175,5.503035090140996,9.821152047500378,32.69878,-97.04692,180.0
BPC,SSP245,0.99,6.51098597670764,3.4929947533735817,12.460758328472854,35.88928,-101.03014,845.0
