Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.99,7.202399454284156,5.375843698382481,9.634382624542418,32.38401,-94.71149,124.0
5C1,SSP585,0.99,6.336669299500081,4.381474674834673,7.457781324472548,29.72393,-98.69464,422.1
NFW,SSP585,0.99,6.713024660607696,4.730135799173775,8.413349410802796,32.78098,-97.43648,198.0
SNK,SSP585,0.99,5.827179527747286,4.274805896694941,6.752311707091016,32.69339,-100.95047,741.0
UVA,SSP585,0.99,6.051232246106317,3.201111277281928,11.075762561047428,29.21133,-99.74358,287.0
BKS,SSP585,0.99,6.780991355285426,3.355024134030121,11.16058996539702,27.20667,-98.12111,34.0
GDJ,SSP585,0.99,7.8411128389021405,5.254559446044485,12.521060986281505,32.44442,-97.81694,237.0
SLR,SSP585,0.99,6.447314329642912,4.954419898709112,7.812084545572713,33.16,-95.62,149.0
TRL,SSP585,0.99,6.86245867146817,5.027737966393979,9.161147763852064,32.71,-96.27,145.0
PRX,SSP585,0.99,6.4353656564032615,4.605727263256077,8.299062458992744,33.63661,-95.45075,167.0
CLL,SSP585,0.99,6.942261107570545,4.987184097594067,11.017343282958455,30.58806,-96.36389,98.0
LRD,SSP585,0.99,6.174913022743148,4.3700193558349945,7.438963802731509,27.5438,-99.46153,155.0
LZZ,SSP585,0.99,6.96306702417133,4.765442734814149,10.36025156115196,31.10619,-98.19589,370.3
11R,SSP585,0.99,8.56503417419602,5.266766627751661,14.553485828480746,30.21889,-96.37417,94.0
SEP,SSP585,0.99,8.314966349985438,5.556579977575506,13.717949666536066,32.21533,-98.17767,402.0
HQZ,SSP585,0.99,8.7537677331303,5.193552270108166,19.16701666408114,32.74696,-96.53042,136.0
JXI,SSP585,0.99,6.715977969306024,5.119286977591105,8.901666360842697,32.7,-94.95,127.0
GDP,SSP585,0.99,4.110405797310733,2.19443951790307,5.7337120122578416,31.83312,-104.80978,1662.0
DFW,SSP585,0.99,7.11773706456552,4.949919084037219,8.587832121947311,32.89683,-97.038,182.0
LVJ,SSP585,0.99,6.423745185533521,4.668837754870699,8.257711151209584,29.5189,-95.2417,13.164371
PWG,SSP585,0.99,6.569299682558977,4.191221467755039,8.302778788758056,31.48492,-97.31653,180.0
HYI,SSP585,0.99,7.723812732076739,6.159204049702612,9.811411351781796,29.89275,-97.863,182.0
BRO,SSP585,0.99,6.562063068538516,5.39427791335025,7.188921892003077,25.91461,-97.42313,6.0
3T5,SSP585,0.99,8.875638079505261,6.173580365738548,15.492645898043008,29.91,-96.95,99.0
