Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.9,1.0419523707452507,0.9392211817021086,1.221513199689909,32.38401,-94.71149,124.0
5C1,SSP245,0.9,0.9434846413231244,0.8312635598105935,1.060445221678067,29.72393,-98.69464,422.1
NFW,SSP245,0.9,1.0354507776701765,0.8698359709570211,1.173769886104335,32.78098,-97.43648,198.0
SNK,SSP245,0.9,1.137076231629895,1.007659608462926,1.3647556841678283,32.69339,-100.95047,741.0
UVA,SSP245,0.9,0.973825366174866,0.7919395600191341,1.2594524502018865,29.21133,-99.74358,287.0
BKS,SSP245,0.9,1.1843579296986808,0.9484017962133005,1.6323094377272709,27.20667,-98.12111,34.0
GDJ,SSP245,0.9,1.1182460672625527,0.9637366700049824,1.415349217368327,32.44442,-97.81694,237.0
SLR,SSP245,0.9,1.0480403776053584,0.8421035598448081,1.294391121223113,33.16,-95.62,149.0
TRL,SSP245,0.9,1.0159942040533558,0.9115204851868256,1.1186468802931573,32.71,-96.27,145.0
PRX,SSP245,0.9,0.9687924547849938,0.7930095893202868,1.1053073387781378,33.63661,-95.45075,167.0
CLL,SSP245,0.9,0.977130490764796,0.8866364826628101,1.0552817516826285,30.58806,-96.36389,98.0
LRD,SSP245,0.9,0.9215852401587792,0.7806151189343687,1.1206698899706402,27.5438,-99.46153,155.0
LZZ,SSP245,0.9,1.1144549949902651,0.9162341059866398,1.3142710878841704,31.10619,-98.19589,370.3
11R,SSP245,0.9,0.7962659076125135,0.682167434191844,0.9439196593156798,30.21889,-96.37417,94.0
SEP,SSP245,0.9,1.1212731829931697,0.9116092320358916,1.401067679847993,32.21533,-98.17767,402.0
HQZ,SSP245,0.9,1.09607821072051,0.9360426387076172,1.2315792364436204,32.74696,-96.53042,136.0
JXI,SSP245,0.9,1.1539841635068366,0.8668375609098558,1.486724933765957,32.7,-94.95,127.0
GDP,SSP245,0.9,0.7808674791802267,0.6312720743622471,1.0050347477746533,31.83312,-104.80978,1662.0
DFW,SSP245,0.9,0.9329626263306658,0.8495587248414245,0.9849046780171054,32.89683,-97.038,182.0
LVJ,SSP245,0.9,0.9619652552787848,0.8132211538430281,1.1366266752331011,29.5189,-95.2417,13.164371
PWG,SSP245,0.9,0.8660674984332477,0.6655952443539811,1.0690542120213486,31.48492,-97.31653,180.0
HYI,SSP245,0.9,1.1493078647479882,0.7894137455485208,1.556429536895638,29.89275,-97.863,182.0
BRO,SSP245,0.9,0.9964809963627668,0.8874770255846658,1.1862535171216069,25.91461,-97.42313,6.0
3T5,SSP245,0.9,0.8046053891187015,0.6804654015072797,0.9667967036360464,29.91,-96.95,99.0
GYB,SSP245,0.9,0.9871103412240614,0.8147046617279536,1.1771410768468915,30.17,-96.98,148.0
ADS,SSP245,0.9,1.1943321766770223,0.822782238982149,1.7688067004097112,32.96856,-96.83645,196.0
HLR,SSP245,0.9,1.132491654879972,0.9241403288999204,1.3841168606298646,31.1387,-97.7145,283.0
AXH,SSP245,0.9,0.9080841425960228,0.7785607259233175,1.1199626609159434,29.50614,-95.47692,20.7
AFW,SSP245,0.9,1.0646339873087178,0.9374697670963706,1.2579341439674936,32.9716,-97.31788,204.81914
GYI,SSP245,0.9,0.9832607358965052,0.8054502134881332,1.196312618713852,33.71411,-96.67367,228.0
RAS,SSP245,0.9,0.984589985238172,0.8072095262339624,1.2610443913633624,27.81,-97.09,2.0
TYR,SSP245,0.9,1.018588081759342,0.9128178435687598,1.1257744294086838,32.35414,-95.40239,166.0
VCT,SSP245,0.9,1.0245681109274452,0.9104566221567156,1.1557221636579489,28.8614,-96.9303,36.0
COM,SSP245,0.9,1.119302399608623,0.9251406923984624,1.2846661143896758,31.84114,-99.40361,517.2
6R6,SSP245,0.9,1.0246035513310183,0.856640751908764,1.228567703218841,30.04602,-102.21291,702.0
ATT,SSP245,0.9,1.0409029604893092,0.9479502020142928,1.1272348580991758,30.32081,-97.76042,203.0
FST,SSP245,0.9,1.1262392849939216,0.9924224660062644,1.3048158137488757,30.91194,-102.91667,917.0
UTS,SSP245,0.9,0.9618506936849064,0.844037599964037,1.0616191435809184,30.74689,-95.58717,112.0
INJ,SSP245,0.9,1.056532715805052,0.8815994858435242,1.1979194427047577,32.08361,-97.09722,209.0
ECU,SSP245,0.9,0.9733362752224662,0.771272085591112,1.2239505364336882,29.94692,-100.17385,723.0
HRX,SSP245,0.9,1.0831145990504665,0.9256216847807868,1.4437903915345478,34.85776,-102.32641,1153.0
JCT,SSP245,0.9,1.092277977177088,0.9873144744167904,1.2275429972755223,30.51083,-99.76639,522.0
F05,SSP245,0.9,1.097149387317819,0.9296086062377248,1.2992516651696466,34.22567,-99.28375,386.0
RPH,SSP245,0.9,1.1356640363034305,0.9965731565868418,1.3133450338870107,33.11,-98.555,344.0
PIL,SSP245,0.9,0.992855925230442,0.8522401123246864,1.188566491568677,26.1597,-97.33781,6.0
RKP,SSP245,0.9,0.9605086946643742,0.7994508200809602,1.2190783978480533,28.08361,-97.04639,8.0
