Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.99,7.026044962452501,4.20630542823855,11.285974847854968,32.38401,-94.71149,124.0
5C1,SSP245,0.99,7.482491430482631,4.252167855427059,14.148568866911436,29.72393,-98.69464,422.1
NFW,SSP245,0.99,6.289169970534443,4.395658958980201,7.785194464714497,32.78098,-97.43648,198.0
SNK,SSP245,0.99,6.554749623647014,4.543539555982127,9.69545320949214,32.69339,-100.95047,741.0
UVA,SSP245,0.99,6.596229089795868,4.215712235288876,11.457095231450689,29.21133,-99.74358,287.0
BKS,SSP245,0.99,7.064464267876964,5.358142207245008,10.908499675061314,27.20667,-98.12111,34.0
GDJ,SSP245,0.99,5.212375349648925,3.4824846070022697,6.606249655917645,32.44442,-97.81694,237.0
SLR,SSP245,0.99,5.919939521932289,3.892155882719611,7.293693184989447,33.16,-95.62,149.0
TRL,SSP245,0.99,6.585986951272949,5.714531851479828,8.41254945378391,32.71,-96.27,145.0
PRX,SSP245,0.99,5.875640657796594,4.1172082707991935,7.701088416196143,33.63661,-95.45075,167.0
CLL,SSP245,0.99,6.577796388257376,5.9725537679348,7.5521912750921,30.58806,-96.36389,98.0
LRD,SSP245,0.99,7.268098076470649,5.591512902299204,10.675711533918763,27.5438,-99.46153,155.0
LZZ,SSP245,0.99,5.51212044558597,3.592542737943221,6.88329378044319,31.10619,-98.19589,370.3
11R,SSP245,0.99,6.544490245105594,5.4555820693781225,8.218825255406683,30.21889,-96.37417,94.0
SEP,SSP245,0.99,5.641286700779733,3.396231970565055,7.149138637874885,32.21533,-98.17767,402.0
HQZ,SSP245,0.99,6.070785757321529,5.103126404512738,6.744616937844346,32.74696,-96.53042,136.0
JXI,SSP245,0.99,6.454975242979264,4.157834692449181,10.28651449860425,32.7,-94.95,127.0
GDP,SSP245,0.99,5.513117661769298,2.40332140501317,8.215417126334744,31.83312,-104.80978,1662.0
DFW,SSP245,0.99,6.438652358163293,5.051207886079161,7.187431205592581,32.89683,-97.038,182.0
LVJ,SSP245,0.99,5.668790054157742,3.597487200651286,7.732711969170593,29.5189,-95.2417,13.164371
PWG,SSP245,0.99,6.34411131905793,4.574760506982362,7.868281929460537,31.48492,-97.31653,180.0
HYI,SSP245,0.99,11.00542946452852,4.010306721162842,31.87121979713385,29.89275,-97.863,182.0
BRO,SSP245,0.99,5.380329466887585,3.705440540639339,6.866249858227329,25.91461,-97.42313,6.0
3T5,SSP245,0.99,6.07614463564512,5.0205120668980925,7.1332799783066285,29.91,-96.95,99.0
GYB,SSP245,0.99,6.7730305530733945,5.31151216480649,8.726448811194157,30.17,-96.98,148.0
ADS,SSP245,0.99,6.876497258019059,4.328180632243203,13.803845048146824,32.96856,-96.83645,196.0
HLR,SSP245,0.99,5.923966061472787,3.66956139065854,7.2327956443726364,31.1387,-97.7145,283.0
AXH,SSP245,0.99,7.363521927635433,4.731914539089829,11.933269128802072,29.50614,-95.47692,20.7
AFW,SSP245,0.99,7.092142467829379,4.84296542367939,11.13195992132228,32.9716,-97.31788,204.81914
