Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.9,4.477846674722566,3.818976652324319,5.224881122169628,32.38401,-94.71149,124.0
5C1,SSP245,0.9,4.3703650771746885,3.83289357918954,5.191909192252839,29.72393,-98.69464,422.1
NFW,SSP245,0.9,4.12338793440625,3.597642656487941,4.576584601450701,32.78098,-97.43648,198.0
SNK,SSP245,0.9,3.690573671598088,3.2734241690262698,4.429385898790718,32.69339,-100.95047,741.0
UVA,SSP245,0.9,3.6243503697004633,3.1309392728365584,4.404892543984624,29.21133,-99.74358,287.0
BKS,SSP245,0.9,3.637018526958612,3.139764450739423,4.412928812963158,27.20667,-98.12111,34.0
GDJ,SSP245,0.9,3.732649820723716,3.1791887580449445,4.256467756453511,32.44442,-97.81694,237.0
SLR,SSP245,0.9,4.020842340322662,3.6107879502461504,4.786608944949016,33.16,-95.62,149.0
TRL,SSP245,0.9,4.224710258611877,3.9167088323998094,4.652592337214982,32.71,-96.27,145.0
PRX,SSP245,0.9,4.5800313384780384,3.869362260092922,5.351306516732009,33.63661,-95.45075,167.0
CLL,SSP245,0.9,4.230224461508577,3.9721894479653335,4.505449753304668,30.58806,-96.36389,98.0
LRD,SSP245,0.9,3.929726577799201,3.278521363829245,4.694848226101056,27.5438,-99.46153,155.0
LZZ,SSP245,0.9,3.956206181381502,3.367324844361651,4.53082362887765,31.10619,-98.19589,370.3
11R,SSP245,0.9,4.057162045922251,3.717689463138517,4.555302521513737,30.21889,-96.37417,94.0
SEP,SSP245,0.9,3.805759723019092,3.142556336912586,4.286641743218679,32.21533,-98.17767,402.0
HQZ,SSP245,0.9,3.8566388748793865,3.4863971328690724,4.185156850480369,32.74696,-96.53042,136.0
JXI,SSP245,0.9,3.9082769172021896,3.274087370711165,4.755463528442945,32.7,-94.95,127.0
GDP,SSP245,0.9,3.1164470617018405,2.317792478673863,3.6191836883793806,31.83312,-104.80978,1662.0
DFW,SSP245,0.9,4.438461629961592,4.149368198194288,4.798055940612889,32.89683,-97.038,182.0
LVJ,SSP245,0.9,4.46193111736482,3.5026080795148684,5.382930069706459,29.5189,-95.2417,13.164371
PWG,SSP245,0.9,4.820370733690085,4.253905497473755,5.514827561647445,31.48492,-97.31653,180.0
HYI,SSP245,0.9,4.905050916553145,3.4634041650017413,7.259866142106366,29.89275,-97.863,182.0
BRO,SSP245,0.9,4.026651911283207,3.49355318264324,4.516467958763196,25.91461,-97.42313,6.0
3T5,SSP245,0.9,3.863271684213061,3.3983959798590355,4.291321880892308,29.91,-96.95,99.0
