Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.99,6.174292203544998,4.093453191673897,7.224850122964951,32.38401,-94.71149,124
5C1,SSP585,0.99,6.712025354265491,4.318442595856356,12.123101170137163,29.72393,-98.69464,422.1
NFW,SSP585,0.99,6.160940169534888,4.309677692754413,7.262025771469024,32.78098,-97.43648,198
SNK,SSP585,0.99,6.2765441,4.531851039333976,8.601232011444194,32.69339,-100.95047,741
UVA,SSP585,0.99,6.673571792,3.9020413220389663,11.650394854114534,29.21133,-99.74358,287
BKS,SSP585,0.99,7.2120168981221315,5.578265401922586,10.644409737763796,27.20667,-98.12111,34
GDJ,SSP585,0.99,5.271736220858162,3.480486718525948,6.686457661187594,32.44442,-97.81694,237
SLR,SSP585,0.99,6.040366931983654,4.166636772463785,7.323154424722297,33.16,-95.62,149
TRL,SSP585,0.99,7.394782627975191,5.8007929186247456,10.549094690500992,32.71,-96.27,145
PRX,SSP585,0.99,5.958883374713202,4.145670752170709,7.824623992282094,33.63661,-95.45075,167
CLL,SSP585,0.99,6.774329851730625,3.894480276639701,8.606946940041292,30.58806,-96.36389,98
LRD,SSP585,0.99,7.210430691536915,5.598171588,11.923350624253764,27.5438,-99.46153,155
LZZ,SSP585,0.99,5.533616290184606,3.548006772084256,7.068752270935755,31.10619,-98.19589,370.3
11R,SSP585,0.99,6.466077189480178,5.533978656863852,7.564237596535181,30.21889,-96.37417,94
SEP,SSP585,0.99,5.899958856493561,3.5184311903428824,7.940187644274728,32.21533,-98.17767,402
HQZ,SSP585,0.99,6.227148622391486,4.657455056,7.332059957841389,32.74696,-96.53042,136
JXI,SSP585,0.99,6.170973726836934,3.876099047253116,9.181380877,32.7,-94.95,127
GDP,SSP585,0.99,5.296511311584412,2.376075132,7.187439181292599,31.83312,-104.80978,1662
DFW,SSP585,0.99,6.581365688099622,5.113240907090397,7.955416322884056,32.89683,-97.038,182
LVJ,SSP585,0.99,5.764739654909573,3.7233995295196594,7.746751893,29.5189,-95.2417,13.164371
PWG,SSP585,0.99,6.330777197146447,4.386923241680846,7.961012629431354,31.48492,-97.31653,180
HYI,SSP585,0.99,10.940920859308267,3.754182701441116,26.21625049789445,29.89275,-97.863,182
BRO,SSP585,0.99,5.427821115962659,3.899159524614808,6.926481583437448,25.91461,-97.42313,6
3T5,SSP585,0.99,6.123702241705097,4.3217915270824445,7.121642804394062,29.91,-96.95,99
GYB,SSP585,0.99,6.863457305,5.657594391,9.575782300155256,30.17,-96.98,148
ADS,SSP585,0.99,6.026242594249244,3.554936794,8.559097529403607,32.96856,-96.83645,196
HLR,SSP585,0.99,5.894945804305564,3.681142521092296,7.387905042901301,31.1387,-97.7145,283
AXH,SSP585,0.99,6.834995303022747,4.361386565161295,10.131909785973605,29.50614,-95.47692,20.7
AFW,SSP585,0.99,6.603743084010205,4.579195263170406,8.475383274,32.9716,-97.31788,204.81914
GYI,SSP585,0.99,6.488867941308808,5.245839049849312,8.231424327701054,33.71411,-96.67367,228
RAS,SSP585,0.99,6.580135989027982,4.129058877157952,11.858559903459517,27.81,-97.09,2
TYR,SSP585,0.99,5.76661721,4.090180179818371,7.505304133035906,32.35414,-95.40239,166
VCT,SSP585,0.99,5.870733387,3.5780514546252777,7.449915412070949,28.8614,-96.9303,36
COM,SSP585,0.99,5.738292150123955,3.5551724771259035,7.733476079158144,31.84114,-99.40361,517.2
6R6,SSP585,0.99,6.963835807,5.591061707499999,11.132691100462768,30.04602,-102.21291,702
ATT,SSP585,0.99,5.319147382531905,3.6465941299563207,6.695097830578957,30.32081,-97.76042,203
FST,SSP585,0.99,5.186920089797059,2.3534768752717583,6.523900535593593,30.91194,-102.91667,917
UTS,SSP585,0.99,5.690041698199094,3.9640437651786384,7.033112368443712,30.74689,-95.58717,112
INJ,SSP585,0.99,6.321516485412038,4.3608638543574205,7.635241842,32.08361,-97.09722,209
ECU,SSP585,0.99,5.746514531855946,4.579105753745306,7.184210958482273,29.94692,-100.17385,723
HRX,SSP585,0.99,7.565260377395877,5.165488301094324,13.910611209341589,34.85776,-102.32641,1153
JCT,SSP585,0.99,5.840807348,4.096058572695366,6.948249439332622,30.51083,-99.76639,522
F05,SSP585,0.99,7.183662862256432,4.240634116,12.747271867325818,34.22567,-99.28375,386
RPH,SSP585,0.99,5.283952535937796,3.379205666841517,6.587525430337138,33.11,-98.555,344
PIL,SSP585,0.99,5.716884782097126,3.726590699023631,7.367148673448691,26.1597,-97.33781,6
RKP,SSP585,0.99,6.232271029462864,3.499642260670909,8.479856926625567,28.08361,-97.04639,8
T82,SSP585,0.99,6.171544891630985,3.7590846930895143,8.074181322906224,30.24325,-98.90919,517
PEZ,SSP585,0.99,5.717538418,3.787431374880268,6.790526972,28.95419,-98.51998,131.1
SJT,SSP585,0.99,6.744184831695734,5.617061173632615,8.825658904383332,31.35167,-100.495,582
AQO,SSP585,0.99,6.985862831939383,5.550908358764124,11.572305129998131,30.78361,-98.66194,336
LUD,SSP585,0.99,7.602538683084842,5.333022777187477,11.853587846038405,33.25425,-97.5805,319
PYX,SSP585,0.99,6.3629774265349495,4.916103703451941,9.625609009368414,36.414,-100.75,889
GPM,SSP585,0.99,6.575865510205669,5.196108399917611,10.335117305710062,32.69878,-97.04692,180
BPC,SSP585,0.99,5.712630584310081,3.865792331184625,7.676880679,35.88928,-101.03014,845
BKD,SSP585,0.99,7.094299995,5.3266656256918425,10.846070978817282,32.71905,-98.891,391.4
