Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.9,5.166907697383057,4.735856973514549,5.987249647838813,32.38401,-94.71149,124.0
5C1,SSP585,0.9,4.611686390425628,4.153988099988619,5.115208937704536,29.72393,-98.69464,422.1
NFW,SSP585,0.9,4.440314183462627,3.805331478789989,4.967678714042679,32.78098,-97.43648,198.0
SNK,SSP585,0.9,3.995422362090056,3.5598749744337126,4.7185452057202575,32.69339,-100.95047,741.0
UVA,SSP585,0.9,4.223141172098822,3.222777099047621,5.849874981658821,29.21133,-99.74358,287.0
BKS,SSP585,0.9,4.371051992729748,3.4842435038416344,5.872668126543489,27.20667,-98.12111,34.0
GDJ,SSP585,0.9,4.795795464127489,4.012946204481929,5.665909471677452,32.44442,-97.81694,237.0
SLR,SSP585,0.9,4.668860868056553,3.8661641527283135,5.705935067070872,33.16,-95.62,149.0
TRL,SSP585,0.9,5.370078901926839,4.750990177502786,6.078504781668918,32.71,-96.27,145.0
PRX,SSP585,0.9,6.2315917127549225,4.934105001994678,7.461377614829789,33.63661,-95.45075,167.0
CLL,SSP585,0.9,5.143959403364771,4.643452189142709,5.693785593100068,30.58806,-96.36389,98.0
LRD,SSP585,0.9,4.393209407959658,3.673128484350417,5.099737385095712,27.5438,-99.46153,155.0
LZZ,SSP585,0.9,4.707241006012123,3.863321909685731,5.396949535915521,31.10619,-98.19589,370.3
11R,SSP585,0.9,4.954617349243597,4.186499888196865,5.864186992223232,30.21889,-96.37417,94.0
SEP,SSP585,0.9,4.794182034291386,3.863002589615452,5.99132022913768,32.21533,-98.17767,402.0
HQZ,SSP585,0.9,4.565059750916902,3.878411081315024,5.385781109049488,32.74696,-96.53042,136.0
JXI,SSP585,0.9,4.491871692941138,3.43871492547458,5.534799341204663,32.7,-94.95,127.0
GDP,SSP585,0.9,3.797497827323108,3.1664181411937697,4.847661586871834,31.83312,-104.80978,1662.0
DFW,SSP585,0.9,4.854719645052323,4.5261681403947245,5.12632746497372,32.89683,-97.038,182.0
LVJ,SSP585,0.9,6.194503601351089,5.20262673923723,7.049813231297829,29.5189,-95.2417,13.164371
PWG,SSP585,0.9,6.209486537334224,4.710677918790615,7.663100927468444,31.48492,-97.31653,180.0
HYI,SSP585,0.9,6.758633299525823,4.612029104571002,9.757128938537086,29.89275,-97.863,182.0
BRO,SSP585,0.9,4.963476795784096,4.519786412353789,5.494315773860204,25.91461,-97.42313,6.0
3T5,SSP585,0.9,4.647634430001154,3.906456615615478,5.687294590618251,29.91,-96.95,99.0
GYB,SSP585,0.9,4.286443002847578,3.6160125766447337,5.404445114760545,30.17,-96.98,148.0
ADS,SSP585,0.9,3.892164198281815,2.702478194297252,5.017072985123899,32.96856,-96.83645,196.0
HLR,SSP585,0.9,5.421708125121708,4.55112547397459,6.51334074438238,31.1387,-97.7145,283.0
AXH,SSP585,0.9,4.721769410309046,4.053133955987895,5.771246010146833,29.50614,-95.47692,20.7
AFW,SSP585,0.9,4.897060681863591,4.2747940432749365,5.51863757883541,32.9716,-97.31788,204.81914
GYI,SSP585,0.9,4.873684416238818,3.919247962054407,6.385765382382664,33.71411,-96.67367,228.0
RAS,SSP585,0.9,4.781327758992212,3.924295674250673,5.893760956226759,27.81,-97.09,2.0
TYR,SSP585,0.9,5.327914457371766,4.72268844446261,6.138715501749246,32.35414,-95.40239,166.0
VCT,SSP585,0.9,5.52456126577898,4.855478962441451,6.06591907385268,28.8614,-96.9303,36.0
COM,SSP585,0.9,4.619583838384122,3.624740289638555,5.359969847877725,31.84114,-99.40361,517.2
6R6,SSP585,0.9,3.798135315222683,3.266139587701937,4.530988949196707,30.04602,-102.21291,702.0
ATT,SSP585,0.9,4.9755401897049625,4.484768964051697,5.340184289203183,30.32081,-97.76042,203.0
FST,SSP585,0.9,3.706009798069743,3.308054482207917,4.122676292506192,30.91194,-102.91667,917.0
UTS,SSP585,0.9,5.543158154463465,4.82345066853862,6.081411424355983,30.74689,-95.58717,112.0
INJ,SSP585,0.9,4.608474248853825,3.7625880087239865,5.215106517727963,32.08361,-97.09722,209.0
ECU,SSP585,0.9,3.972325253515456,3.12553130519358,4.952739119133345,29.94692,-100.17385,723.0
HRX,SSP585,0.9,3.629924533103952,2.9758051954396,5.277138383106241,34.85776,-102.32641,1153.0
JCT,SSP585,0.9,4.534273858990222,4.073299822137286,5.255136039554807,30.51083,-99.76639,522.0
F05,SSP585,0.9,4.174793301148476,3.5802052221768133,4.825584532393713,34.22567,-99.28375,386.0
RPH,SSP585,0.9,4.5253749619452055,3.7871287276577,5.338551776878244,33.11,-98.555,344.0
PIL,SSP585,0.9,5.010320867032672,4.353459249617293,6.324199387567171,26.1597,-97.33781,6.0
RKP,SSP585,0.9,5.448181805602193,4.45862002104139,7.16211109188263,28.08361,-97.04639,8.0
T82,SSP585,0.9,4.808256721194436,4.1506076765167,5.713492439419485,30.24325,-98.90919,517.0
PEZ,SSP585,0.9,4.361186941149339,3.463765155422415,4.943219848528486,28.95419,-98.51998,131.1
SJT,SSP585,0.9,4.32576616244783,3.803334097762323,4.791440763118535,31.35167,-100.495,582.0
AQO,SSP585,0.9,4.150463869049167,3.5612339271714566,4.902464385375143,30.78361,-98.66194,336.0
LUD,SSP585,0.9,4.716707721012496,3.937430706285851,5.592222927947361,33.25425,-97.5805,319.0
PYX,SSP585,0.9,3.8413061428133215,3.0888343778262923,4.660890970836189,36.414,-100.75,889.0
GPM,SSP585,0.9,4.05218644174075,3.1512434344761204,4.95586703515688,32.69878,-97.04692,180.0
BPC,SSP585,0.9,3.7057158047146856,3.0711953315542875,4.886842246593759,35.88928,-101.03014,845.0
BKD,SSP585,0.9,4.143348588931492,3.538863723468185,5.009184963011046,32.71905,-98.891,391.4
PSX,SSP585,0.9,5.661253682443347,4.97214418492548,6.375726084672604,28.73,-96.25,5.0
COT,SSP585,0.9,4.815422151269198,4.093046332662146,5.892947204239948,28.45667,-99.21833,144.0
CRP,SSP585,0.9,5.397609799436258,4.770961838889101,6.046760786353459,27.77306,-97.51278,13.0
GOP,SSP585,0.9,4.85514437167888,3.9585907922301793,6.017871876027947,31.42128,-97.79697,276.0
SWW,SSP585,0.9,4.311955143818831,3.61809951171736,5.434162823558885,32.46736,-100.46656,727.0
MAF,SSP585,0.9,3.8646450185148735,3.586554039824726,4.221951897207068,31.94662,-102.20745,868.9406
MCJ,SSP585,0.9,4.99641623708644,4.076621842785565,5.70462692267956,29.714,-95.395,22.525835
ERV,SSP585,0.9,5.204075142645122,4.042178401093125,7.295731206976319,29.97667,-99.08547,493.0
JDD,SSP585,0.9,4.303712477812543,3.53566992123144,5.150571877668636,32.7422,-95.49648,132.0
MKN,SSP585,0.9,4.983510071607724,3.974506553509418,6.415496253481207,31.92,-98.6,423.0
MNZ,SSP585,0.9,4.400716705297034,3.3994643358181045,5.554649556100592,31.66593,-98.14864,395.9
RWV,SSP585,0.9,5.8701366372041335,4.258676376386132,9.173404137003494,30.51547,-96.70409,119.0
SSF,SSP585,0.9,5.13122567408345,4.376497529207104,6.0292350598780455,29.33698,-98.47105,176.0
HOU,SSP585,0.9,6.10739090119574,5.156257115622142,7.390204314464218,29.63747,-95.28245,14.0
LBB,SSP585,0.9,4.308639374082615,3.7564030470976033,5.613652483942012,33.66364,-101.82278,988.0
NGP,SSP585,0.9,5.2803753379797085,4.739154625979728,6.022944728181937,27.69263,-97.29109,6.0
6R3,SSP585,0.9,5.664221800175032,4.708926219925239,6.902075825752487,30.35644,-95.008,45.7
FTN,SSP585,0.9,4.412762149542599,3.891613215305515,5.224536292242335,28.2086,-100.0188,236.0
