Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.99,7.840310919313184,5.84562650380494,11.915392134470444,32.38401,-94.71149,124.0
5C1,SSP245,0.99,6.444773434359824,4.326767061276116,7.901395438461588,29.72393,-98.69464,422.1
NFW,SSP245,0.99,7.851450940231959,4.801318643328218,11.231708797198072,32.78098,-97.43648,198.0
SNK,SSP245,0.99,6.192963178393055,4.596169422312851,8.963063488107315,32.69339,-100.95047,741.0
UVA,SSP245,0.99,6.090993672282789,3.239133931737119,9.951358515961308,29.21133,-99.74358,287.0
BKS,SSP245,0.99,6.971572598102977,3.3736193650458395,12.35593535085622,27.20667,-98.12111,34.0
GDJ,SSP245,0.99,8.055037798648119,5.364798309081705,15.6412004987812,32.44442,-97.81694,237.0
SLR,SSP245,0.99,6.310131272582031,4.0764926937956885,7.788038230174631,33.16,-95.62,149.0
TRL,SSP245,0.99,6.8281919880403965,5.095947603073907,8.342240095724588,32.71,-96.27,145.0
PRX,SSP245,0.99,6.3532503339903865,4.339980995464516,8.091422219950557,33.63661,-95.45075,167.0
CLL,SSP245,0.99,7.035292770982934,4.952305930289563,10.334334006026376,30.58806,-96.36389,98.0
LRD,SSP245,0.99,6.724058496176414,4.133198204365058,8.175011546564377,27.5438,-99.46153,155.0
LZZ,SSP245,0.99,6.974268765940815,4.666818838571845,10.227412813610512,31.10619,-98.19589,370.3
11R,SSP245,0.99,8.080718257871386,5.205147109240055,13.632212722619329,30.21889,-96.37417,94.0
SEP,SSP245,0.99,7.9851864995435715,5.173186426277187,14.215838963949198,32.21533,-98.17767,402.0
HQZ,SSP245,0.99,7.68559929382646,5.825449577197667,11.23412593149788,32.74696,-96.53042,136.0
JXI,SSP245,0.99,7.440437199853186,5.367794625972465,11.998646142895934,32.7,-94.95,127.0
GDP,SSP245,0.99,4.066513965310024,2.2007828458441723,5.682152254218482,31.83312,-104.80978,1662.0
DFW,SSP245,0.99,6.866577213354697,5.110749739223213,8.71637165685534,32.89683,-97.038,182.0
LVJ,SSP245,0.99,6.365858778101352,4.629674658533877,8.189413519541683,29.5189,-95.2417,13.164371
PWG,SSP245,0.99,6.520144542489979,4.468183844720203,8.059714530834624,31.48492,-97.31653,180.0
HYI,SSP245,0.99,7.861830737470078,6.315467403000337,10.432685281052718,29.89275,-97.863,182.0
BRO,SSP245,0.99,6.473265106375589,4.787969369150309,8.391099863599589,25.91461,-97.42313,6.0
3T5,SSP245,0.99,8.433747302319532,5.609519978742259,14.98613738032695,29.91,-96.95,99.0
GYB,SSP245,0.99,7.538582043644455,5.764952537520375,11.066592000730724,30.17,-96.98,148.0
ADS,SSP245,0.99,10.286998137615734,4.95500054112135,27.04589613093907,32.96856,-96.83645,196.0
HLR,SSP245,0.99,9.527293923842397,6.583274614891711,17.072534305272022,31.1387,-97.7145,283.0
AXH,SSP245,0.99,8.250294454981624,6.280126566887192,12.68489520475802,29.50614,-95.47692,20.7
AFW,SSP245,0.99,7.167898056302107,5.031394427404602,11.119220514194533,32.9716,-97.31788,204.81914
