Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP245,0.9,5.078838212558105,4.578090670556104,5.9540801383195125,32.38401,-94.71149,124.0
5C1,SSP245,0.9,4.691760531992959,4.133707525046621,5.273382119323468,29.72393,-98.69464,422.1
NFW,SSP245,0.9,4.460285428395496,3.746886660400636,5.056105835431831,32.78098,-97.43648,198.0
SNK,SSP245,0.9,3.9861017040485462,3.532422515452181,4.784248238549053,32.69339,-100.95047,741.0
UVA,SSP245,0.9,4.091767776500864,3.327529642558821,5.291900509855649,29.21133,-99.74358,287.0
BKS,SSP245,0.9,4.34251666673287,3.4773698926163696,5.984956710172418,27.20667,-98.12111,34.0
GDJ,SSP245,0.9,4.69993063172345,4.050535592188308,5.948639870989486,32.44442,-97.81694,237.0
SLR,SSP245,0.9,4.497562702990448,3.613805005745353,5.554752807517495,33.16,-95.62,149.0
TRL,SSP245,0.9,5.207926880009116,4.672400706169895,5.734118495828668,32.71,-96.27,145.0
PRX,SSP245,0.9,5.989593293741784,4.902809569382795,6.8336013468833,33.63661,-95.45075,167.0
CLL,SSP245,0.9,5.023054453023343,4.557859338691345,5.424800220730841,30.58806,-96.36389,98.0
LRD,SSP245,0.9,4.351217926752045,3.685634655797768,5.291185994223781,27.5438,-99.46153,155.0
LZZ,SSP245,0.9,4.672397544666334,3.8413484675430287,5.510134578480299,31.10619,-98.19589,370.3
11R,SSP245,0.9,4.901012016770291,4.19873657839755,5.809819997245308,30.21889,-96.37417,94.0
SEP,SSP245,0.9,4.671869690542233,3.79828894988645,5.837654665393028,32.21533,-98.17767,402.0
HQZ,SSP245,0.9,4.452604945964005,3.802491502867301,5.003051557726605,32.74696,-96.53042,136.0
JXI,SSP245,0.9,4.437830695678083,3.333562502523621,5.717438553962825,32.7,-94.95,127.0
GDP,SSP245,0.9,3.920621253117599,3.1695246341191607,5.046132278915849,31.83312,-104.80978,1662.0
DFW,SSP245,0.9,4.7851716905873865,4.357392509485008,5.0515828288968905,32.89683,-97.038,182.0
LVJ,SSP245,0.9,6.047213639810937,5.112161823637959,7.145189804023218,29.5189,-95.2417,13.164371
PWG,SSP245,0.9,6.096465130441168,4.685290933480595,7.525339235024701,31.48492,-97.31653,180.0
HYI,SSP245,0.9,6.695067928573923,4.598575205396521,9.066675514171356,29.89275,-97.863,182.0
BRO,SSP245,0.9,5.034793989483105,4.484043359108233,5.993633696786295,25.91461,-97.42313,6.0
3T5,SSP245,0.9,4.587073762480414,3.879348848195769,5.511730163476709,29.91,-96.95,99.0
GYB,SSP245,0.9,4.276384021901364,3.5294838403391373,5.099639910883256,30.17,-96.98,148.0
ADS,SSP245,0.9,3.945781870254109,2.7182716041157016,5.843705416929428,32.96856,-96.83645,196.0
HLR,SSP245,0.9,5.5954571856153,4.56602715046761,6.838696426741884,31.1387,-97.7145,283.0
AXH,SSP245,0.9,4.64214628840431,3.980019708096731,5.725273975888863,29.50614,-95.47692,20.7
AFW,SSP245,0.9,4.818111573675882,4.2426167008216,5.692911489039605,32.9716,-97.31788,204.81914
GYI,SSP245,0.9,4.589535762464361,3.759575079867155,5.583991454381159,33.71411,-96.67367,228.0
RAS,SSP245,0.9,4.902096278239115,4.018950907116391,6.278512995540252,27.81,-97.09,2.0
TYR,SSP245,0.9,5.141044498645988,4.60719817655772,5.682038245559668,32.35414,-95.40239,166.0
VCT,SSP245,0.9,5.5546571146103005,4.936006010599908,6.265703832090127,28.8614,-96.9303,36.0
COM,SSP245,0.9,4.535997247060833,3.749152718095404,5.206137287208057,31.84114,-99.40361,517.2
6R6,SSP245,0.9,3.734316781847161,3.1221519110600635,4.477693821972064,30.04602,-102.21291,702.0
ATT,SSP245,0.9,5.003075083910708,4.556299882417849,5.418027276644999,30.32081,-97.76042,203.0
FST,SSP245,0.9,3.7257260584698537,3.283044990417296,4.316477274022607,30.91194,-102.91667,917.0
UTS,SSP245,0.9,5.388416855815883,4.728412071071909,5.947333120708034,30.74689,-95.58717,112.0
INJ,SSP245,0.9,4.5543057763045125,3.8002359706437137,5.163769522556296,32.08361,-97.09722,209.0
