Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.9,4.828848607581643,4.470218883388628,5.195837494389843,32.38401,-94.71149,124.0
5C1,SSP585,0.9,4.506137372719193,4.145015140344952,5.005676179151038,29.72393,-98.69464,422.1
NFW,SSP585,0.9,4.4425327108017925,3.8719401664451154,4.861648567507276,32.78098,-97.43648,198.0
SNK,SSP585,0.9,3.865137708112989,3.48313561029052,4.292105333341216,32.69339,-100.95047,741.0
UVA,SSP585,0.9,3.662375645967488,3.03172998297517,4.494958851801586,29.21133,-99.74358,287.0
BKS,SSP585,0.9,3.770319669630826,3.181741848316144,4.507108122248507,27.20667,-98.12111,34.0
GDJ,SSP585,0.9,4.553090365629751,3.887348831317107,5.199210019878558,32.44442,-97.81694,237.0
SLR,SSP585,0.9,4.40354962312927,3.863151936173496,5.295284250745148,33.16,-95.62,149.0
TRL,SSP585,0.9,4.918101491656222,4.474804492296951,5.413683218502507,32.71,-96.27,145.0
PRX,SSP585,0.9,5.079730174567353,4.41423912610916,5.94928055952861,33.63661,-95.45075,167.0
CLL,SSP585,0.9,4.943760362843462,4.47161809178577,5.675397756899797,30.58806,-96.36389,98.0
LRD,SSP585,0.9,4.085060310133447,3.67701258172382,4.461058989020338,27.5438,-99.46153,155.0
LZZ,SSP585,0.9,4.5907985764356285,4.012799844723534,5.107282925919868,31.10619,-98.19589,370.3
11R,SSP585,0.9,4.769125773136321,4.146368178687183,5.475475194153498,30.21889,-96.37417,94.0
SEP,SSP585,0.9,4.565569157997887,3.835201017029421,5.477796026843249,32.21533,-98.17767,402.0
HQZ,SSP585,0.9,4.640567324197113,3.8641871492770896,5.846189109213471,32.74696,-96.53042,136.0
JXI,SSP585,0.9,4.268884867874151,3.494495265565112,5.193892599930871,32.7,-94.95,127.0
GDP,SSP585,0.9,2.759697980541504,2.111278644154885,3.383930112793709,31.83312,-104.80978,1662.0
DFW,SSP585,0.9,4.726309741369962,4.380571869098034,5.048931078055367,32.89683,-97.038,182.0
LVJ,SSP585,0.9,5.1218380289071455,4.42939485556925,5.907929251745451,29.5189,-95.2417,13.164371
PWG,SSP585,0.9,5.000584839448598,4.14007192237968,5.741167488502106,31.48492,-97.31653,180.0
HYI,SSP585,0.9,5.5534773732290015,4.456835534743809,6.893949539986836,29.89275,-97.863,182.0
BRO,SSP585,0.9,4.510501623922655,4.247723076989273,4.767340487326054,25.91461,-97.42313,6.0
3T5,SSP585,0.9,4.667864501141451,3.9024679028306553,5.723839447322001,29.91,-96.95,99.0
GYB,SSP585,0.9,4.227806682596298,3.644650657061856,4.975680716594236,30.17,-96.98,148.0
ADS,SSP585,0.9,4.053685795396489,2.832293426461346,5.429242009922118,32.96856,-96.83645,196.0
HLR,SSP585,0.9,5.053715513628949,4.350314705260582,6.03396038997479,31.1387,-97.7145,283.0
AXH,SSP585,0.9,4.66232864239389,3.978321924838334,6.392205458065332,29.50614,-95.47692,20.7
AFW,SSP585,0.9,4.751930238824117,4.379559182410383,5.208162561726485,32.9716,-97.31788,204.81914
GYI,SSP585,0.9,4.975523206816161,4.1070586682916685,6.593621367974266,33.71411,-96.67367,228.0
RAS,SSP585,0.9,4.458717675271857,3.8870899969867616,5.101069047540588,27.81,-97.09,2.0
TYR,SSP585,0.9,4.819052324822071,4.362427389389559,5.482353099827327,32.35414,-95.40239,166.0
VCT,SSP585,0.9,4.9490010093397006,4.440019683252244,5.56515030804637,28.8614,-96.9303,36.0
COM,SSP585,0.9,4.278018510554525,3.512202486117893,5.063056486436311,31.84114,-99.40361,517.2
6R6,SSP585,0.9,2.8551295596266604,2.2168031947735707,3.2440923013098866,30.04602,-102.21291,702.0
ATT,SSP585,0.9,4.795394703439719,4.376815476585686,5.157265839513705,30.32081,-97.76042,203.0
FST,SSP585,0.9,2.8830687764076663,2.2735207513741504,3.3985863804059138,30.91194,-102.91667,917.0
UTS,SSP585,0.9,5.3920169682273285,4.570149832477447,5.991713130361455,30.74689,-95.58717,112.0
INJ,SSP585,0.9,4.510064513948647,4.081133601542724,5.109402306078792,32.08361,-97.09722,209.0
ECU,SSP585,0.9,3.6478750644058913,3.117214214375005,4.28802429983835,29.94692,-100.17385,723.0
HRX,SSP585,0.9,3.5649595464065285,2.975336833234727,4.311121601298021,34.85776,-102.32641,1153.0
JCT,SSP585,0.9,3.7136773075653657,3.1659418214168773,4.364509715513328,30.51083,-99.76639,522.0
F05,SSP585,0.9,4.090894104483935,3.5377605949416213,4.866392329904727,34.22567,-99.28375,386.0
RPH,SSP585,0.9,4.4281365386664415,3.8270527685195246,5.082631134200391,33.11,-98.555,344.0
PIL,SSP585,0.9,4.461041035288324,4.108641266227555,4.9446942015585975,26.1597,-97.33781,6.0
RKP,SSP585,0.9,5.161654224737034,4.300873189260942,6.5967531856089,28.08361,-97.04639,8.0
T82,SSP585,0.9,4.384288502739555,3.987363749198608,4.665259959545249,30.24325,-98.90919,517.0
PEZ,SSP585,0.9,4.182683230028979,3.454086250051238,4.622541931109466,28.95419,-98.51998,131.1
SJT,SSP585,0.9,4.131252313763106,3.6672324000314234,4.605395724105124,31.35167,-100.495,582.0
AQO,SSP585,0.9,4.093379062498619,3.4803621137862346,4.936711177952689,30.78361,-98.66194,336.0
LUD,SSP585,0.9,4.562960579745872,4.026339533900575,5.092614103575806,33.25425,-97.5805,319.0
PYX,SSP585,0.9,3.770445593895636,3.088837975133228,4.7102353982721965,36.414,-100.75,889.0
GPM,SSP585,0.9,4.025630849943083,3.21832332168882,4.663284297178048,32.69878,-97.04692,180.0
BPC,SSP585,0.9,3.8786583631274376,3.1275394348290737,5.37574811708026,35.88928,-101.03014,845.0
BKD,SSP585,0.9,4.143391259927444,3.460753269082899,5.148706958310368,32.71905,-98.891,391.4
PSX,SSP585,0.9,4.908709083548209,4.2129073089701565,5.50702577196198,28.73,-96.25,5.0
COT,SSP585,0.9,3.6715099727568647,2.933439925466311,4.352269406342312,28.45667,-99.21833,144.0
CRP,SSP585,0.9,5.103128627691406,4.589029774502702,5.944210098735486,27.77306,-97.51278,13.0
GOP,SSP585,0.9,4.616163348694615,3.858066518586367,5.463381337423077,31.42128,-97.79697,276.0
SWW,SSP585,0.9,4.018057943691492,3.61742572505486,4.427469763575319,32.46736,-100.46656,727.0
MAF,SSP585,0.9,2.7737889167196417,2.213171524418059,3.24940657159508,31.94662,-102.20745,868.9406
MCJ,SSP585,0.9,4.872841099037733,4.004183474679602,5.565829836926727,29.714,-95.395,22.525835
ERV,SSP585,0.9,4.848235580157824,3.908114422144836,6.781717965049249,29.97667,-99.08547,493.0
JDD,SSP585,0.9,4.395434998337586,3.6908234714317034,5.31728496013393,32.7422,-95.49648,132.0
MKN,SSP585,0.9,4.640643767890596,3.891829933039245,5.3519105330779055,31.92,-98.6,423.0
MNZ,SSP585,0.9,4.297064248424683,3.6001068530792915,5.279288031014108,31.66593,-98.14864,395.9
RWV,SSP585,0.9,4.685258303385201,4.08706964665062,5.638862941298906,30.51547,-96.70409,119.0
