Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.9,4.374222749755917,3.830640014157591,4.864523318700624,32.38401,-94.71149,124.0
5C1,SSP585,0.9,4.265251593422529,3.8462516592513705,4.870316404750305,29.72393,-98.69464,422.1
NFW,SSP585,0.9,4.134968522663662,3.632744003635612,4.619814163319916,32.78098,-97.43648,198.0
SNK,SSP585,0.9,3.667198621044565,3.218571352268976,4.183773352010553,32.69339,-100.95047,741.0
UVA,SSP585,0.9,3.6278020192205456,2.965484328511357,4.536184751715365,29.21133,-99.74358,287.0
BKS,SSP585,0.9,3.6766912241264262,3.2349449140887505,4.32304593740258,27.20667,-98.12111,34.0
GDJ,SSP585,0.9,3.7415088738788063,3.171003995308556,4.299760705447956,32.44442,-97.81694,237.0
SLR,SSP585,0.9,4.143065666721813,3.648487406059073,4.973372525258164,33.16,-95.62,149.0
TRL,SSP585,0.9,4.40509244033314,3.935604143622379,5.0188777186423605,32.71,-96.27,145.0
PRX,SSP585,0.9,4.6737961006427655,3.924373965112804,5.47484209281796,33.63661,-95.45075,167.0
CLL,SSP585,0.9,4.289956828467396,3.7516924968259047,4.678869304255501,30.58806,-96.36389,98.0
LRD,SSP585,0.9,3.922754046815863,3.307052791754653,4.572526876513947,27.5438,-99.46153,155.0
LZZ,SSP585,0.9,3.959663832859102,3.297601467784973,4.599262965575141,31.10619,-98.19589,370.3
11R,SSP585,0.9,4.048190656604263,3.716554173340199,4.443931789044678,30.21889,-96.37417,94.0
SEP,SSP585,0.9,3.893869317967521,3.1415180796307816,4.486577030841138,32.21533,-98.17767,402.0
HQZ,SSP585,0.9,3.906656278116456,3.4963687511251327,4.22437005442481,32.74696,-96.53042,136.0
JXI,SSP585,0.9,3.9430278112456087,3.3630014855171586,4.905471878831413,32.7,-94.95,127.0
GDP,SSP585,0.9,3.063561946008264,2.280234795903003,3.438794412558886,31.83312,-104.80978,1662.0
DFW,SSP585,0.9,4.492397452581442,4.240094491339194,4.823307012854032,32.89683,-97.038,182.0
LVJ,SSP585,0.9,4.559574904500036,3.6535474273428914,5.396969993867256,29.5189,-95.2417,13.164371
PWG,SSP585,0.9,4.829169066588575,4.211391013924713,5.611230729967221,31.48492,-97.31653,180.0
HYI,SSP585,0.9,4.807922244751755,3.3584278952994038,6.914687322323228,29.89275,-97.863,182.0
BRO,SSP585,0.9,4.026956176123351,3.542801476183445,4.576699683973314,25.91461,-97.42313,6.0
3T5,SSP585,0.9,3.8563051035788742,3.356855555698461,4.33010121920435,29.91,-96.95,99.0
GYB,SSP585,0.9,3.948970688427261,3.4854947010983177,4.597448353090665,30.17,-96.98,148.0
ADS,SSP585,0.9,3.386112619086868,2.687875924855912,4.059090209358554,32.96856,-96.83645,196.0
HLR,SSP585,0.9,4.080745218444553,3.407741777276042,4.584584789946224,31.1387,-97.7145,283.0
AXH,SSP585,0.9,3.898472055934774,3.5097090662425736,4.478797778024283,29.50614,-95.47692,20.7
AFW,SSP585,0.9,4.578792718074228,4.089177522577741,5.093903316359425,32.9716,-97.31788,204.81914
GYI,SSP585,0.9,3.9845077808342224,3.588636188502746,4.42981282265609,33.71411,-96.67367,228.0
RAS,SSP585,0.9,4.17479999322687,3.602857929308038,4.815385966067108,27.81,-97.09,2.0
TYR,SSP585,0.9,4.418109253581532,3.795678172297517,5.0819089178655314,32.35414,-95.40239,166.0
VCT,SSP585,0.9,4.080745682187585,3.4409805844757404,4.562265954880811,28.8614,-96.9303,36.0
COM,SSP585,0.9,3.864025595973063,3.384290706999153,4.449417338293907,31.84114,-99.40361,517.2
6R6,SSP585,0.9,3.7521246886542814,3.243693190360576,4.466093444145594,30.04602,-102.21291,702.0
ATT,SSP585,0.9,3.8943805220201657,3.3791075024541377,4.345315931114824,30.32081,-97.76042,203.0
FST,SSP585,0.9,3.122659466679658,2.26286228503487,3.493454647741271,30.91194,-102.91667,917.0
UTS,SSP585,0.9,4.106515604474629,3.633184471902245,4.6833304689795785,30.74689,-95.58717,112.0
INJ,SSP585,0.9,4.30746654120151,3.696940784564482,4.985196710134209,32.08361,-97.09722,209.0
ECU,SSP585,0.9,3.386804727491289,2.974838244008204,3.88370060097938,29.94692,-100.17385,723.0
HRX,SSP585,0.9,3.415773252818374,2.890837517877339,4.336213241585689,34.85776,-102.32641,1153.0
JCT,SSP585,0.9,3.687207474381794,3.3021032398548025,3.955357033988172,30.51083,-99.76639,522.0
F05,SSP585,0.9,3.849334900500332,3.34267772227573,4.617185130546392,34.22567,-99.28375,386.0
RPH,SSP585,0.9,3.724243922963985,3.180264613748912,4.22410885444098,33.11,-98.555,344.0
PIL,SSP585,0.9,3.917994942800053,3.454019739596657,4.352429795566285,26.1597,-97.33781,6.0
RKP,SSP585,0.9,4.078519762186045,3.229952220896392,4.810865000953188,28.08361,-97.04639,8.0
T82,SSP585,0.9,3.89359637809927,3.370888745634392,4.303485515934003,30.24325,-98.90919,517.0
PEZ,SSP585,0.9,3.871550792050457,3.480123852155167,4.341899028381184,28.95419,-98.51998,131.1
SJT,SSP585,0.9,3.9541836703180966,3.5509878237983394,4.3573659323587846,31.35167,-100.495,582.0
AQO,SSP585,0.9,3.829833263172984,3.3928504922437206,4.389004024952459,30.78361,-98.66194,336.0
LUD,SSP585,0.9,4.392995038896792,3.7823046994373306,5.0830015975227765,33.25425,-97.5805,319.0
PYX,SSP585,0.9,3.491001376496165,2.983325592202184,4.056171685733825,36.414,-100.75,889.0
GPM,SSP585,0.9,3.848563160586244,3.158208409681716,4.388357227537144,32.69878,-97.04692,180.0
BPC,SSP585,0.9,3.3898169648379257,2.840427544447701,3.8770035169403623,35.88928,-101.03014,845.0
BKD,SSP585,0.9,3.7884651930396975,3.331080659490885,4.486929023801635,32.71905,-98.891,391.4
PSX,SSP585,0.9,4.500548767481568,3.856095284794171,5.153495827673298,28.73,-96.25,5.0
COT,SSP585,0.9,3.949889044553194,3.534480300618481,4.724044208742728,28.45667,-99.21833,144.0
CRP,SSP585,0.9,4.203976580724246,3.425074459316679,4.7928415875226325,27.77306,-97.51278,13.0
GOP,SSP585,0.9,3.74540749003869,3.0226751777052776,4.317038789872157,31.42128,-97.79697,276.0
SWW,SSP585,0.9,3.9980774351351616,3.2707673416602625,5.143024392487716,32.46736,-100.46656,727.0
MAF,SSP585,0.9,3.802501124505543,3.5412086157661067,4.194472964376905,31.94662,-102.20745,868.9406
MCJ,SSP585,0.9,3.9194251601917487,3.388927104317621,4.5922716250563225,29.714,-95.395,22.525835
ERV,SSP585,0.9,3.839293965022812,3.126894907507304,4.491401243614763,29.97667,-99.08547,493.0
JDD,SSP585,0.9,3.828245524137032,3.195491687854574,4.404828136648447,32.7422,-95.49648,132.0
MKN,SSP585,0.9,3.756783565754304,3.121252797990271,4.269462478239404,31.92,-98.6,423.0
MNZ,SSP585,0.9,3.687578971354095,3.12460650065103,4.125445621543215,31.66593,-98.14864,395.9
RWV,SSP585,0.9,4.444793899591802,3.959802075564826,4.918244368660344,30.51547,-96.70409,119.0
SSF,SSP585,0.9,4.0983182422332805,3.60392757451567,4.781923656080411,29.33698,-98.47105,176.0
HOU,SSP585,0.9,4.521322823130762,3.778251799202319,5.269918420427231,29.63747,-95.28245,14.0
LBB,SSP585,0.9,3.9404442141802014,3.518330766525165,4.570438715558464,33.66364,-101.82278,988.0
NGP,SSP585,0.9,4.101515926722458,3.5809523727666828,4.693915169653114,27.69263,-97.29109,6.0
6R3,SSP585,0.9,4.229512553588967,3.325126074179257,5.214581254153111,30.35644,-95.008,45.7
FTN,SSP585,0.9,4.072429389937963,3.5355949114019096,4.951785008102447,28.2086,-100.0188,236.0
FTW,SSP585,0.9,4.454667086846395,3.9870208615875247,4.905545117153224,32.81978,-97.36244,216.0
ALI,SSP585,0.9,4.098736883284913,3.745841012709983,4.786048490379717,27.74089,-98.02694,54.0
BEA,SSP585,0.9,3.752339258695922,3.125327032823344,4.681656745721512,28.36187,-97.79103,81.7
ELP,SSP585,0.9,3.047163836248978,2.745366224115287,3.305537324764341,31.81111,-106.37583,1194.0
JWY,SSP585,0.9,4.312923554158833,3.5964372518048844,4.869149652930942,32.45611,-96.9125,217.0
MRF,SSP585,0.9,4.671606347445277,3.376835075121822,6.914500243564656,30.37,-104.02,1481.0
SGR,SSP585,0.9,4.084849638206283,3.5740518558921472,4.562963225273293,29.62225,-95.65653,2.0
PSN,SSP585,0.9,4.2599478609894,3.766102872769776,4.836726615106345,31.77969,-95.70631,129.0
DAL,SSP585,0.9,4.509061959534623,4.162341918425597,4.813902203786501,32.84711,-96.85178,148.0
CWC,SSP585,0.9,3.878356972990575,3.310406516213495,4.565256487229086,33.85784,-98.4904,304.0
MDD,SSP585,0.9,3.647122324743597,3.1754873722235,4.319175421574821,32.03653,-102.10103,854.0
IAH,SSP585,0.9,4.180521175067194,3.636470599857768,4.761537647402658,29.9844,-95.3607,28.0
APY,SSP585,0.9,3.4345563902801195,2.735288635256411,3.876703414005386,26.96879,-99.24891,128.6
PKV,SSP585,0.9,4.098367238173855,3.5584476771464204,4.562185008648209,28.654,-96.681,9.0
DUX,SSP585,0.9,3.4357131808269337,3.0939005109655766,4.240772926328983,35.858,-102.013,1129.0
DTO,SSP585,0.9,4.676000580376583,4.269888097742548,5.232242779762533,33.205,-97.2006,200.71758
