Station,Scenario,return_period,mean,5th_percentile,95th_percentile,lat,lon,elev
GGG,SSP585,0.99,8.720451500703243,7.057516761039977,12.855691246092372,32.38401,-94.71149,124.0
5C1,SSP585,0.99,7.03117007818774,5.421763273058597,9.421768710741134,29.72393,-98.69464,422.1
NFW,SSP585,0.99,6.902657433803192,5.5488762121749255,8.733271573691411,32.78098,-97.43648,198.0
SNK,SSP585,0.99,6.813502630869751,5.393298122717045,9.72166140263777,32.69339,-100.95047,741.0
UVA,SSP585,0.99,8.775230117178168,5.482323635472367,20.90245755603385,29.21133,-99.74358,287.0
BKS,SSP585,0.99,10.109385102259482,5.834025403305768,21.08191024305342,27.20667,-98.12111,34.0
GDJ,SSP585,0.99,8.459287033197386,5.055506408003464,13.38486239544404,32.44442,-97.81694,237.0
SLR,SSP585,0.99,7.821734659429043,6.224876093984973,11.75077157895416,33.16,-95.62,149.0
TRL,SSP585,0.99,8.940005428431018,7.100772076966919,12.819586555899445,32.71,-96.27,145.0
PRX,SSP585,0.99,9.373349589663034,7.238409481872821,12.525032026705782,33.63661,-95.45075,167.0
CLL,SSP585,0.99,7.703057089656704,6.18104223552889,9.97212861373732,30.58806,-96.36389,98.0
LRD,SSP585,0.99,8.193274985517062,5.895579170841014,14.476030843133188,27.5438,-99.46153,155.0
LZZ,SSP585,0.99,6.860282053733376,3.879013294158555,9.24604867410432,31.10619,-98.19589,370.3
11R,SSP585,0.99,8.995140006659431,6.549271242863866,14.557694162293522,30.21889,-96.37417,94.0
SEP,SSP585,0.99,9.215819431467445,5.637418749452443,15.738876359846763,32.21533,-98.17767,402.0
HQZ,SSP585,0.99,7.539297548270021,5.712651694229312,11.785453751638295,32.74696,-96.53042,136.0
JXI,SSP585,0.99,8.189741345879302,5.761645590364654,14.12649169961815,32.7,-94.95,127.0
GDP,SSP585,0.99,8.786209305589372,5.516200040657903,15.61186023572964,31.83312,-104.80978,1662.0
DFW,SSP585,0.99,7.526875337446962,6.686965834197828,9.295476350378468,32.89683,-97.038,182.0
LVJ,SSP585,0.99,10.441946003094158,7.552408638701364,17.385213875931267,29.5189,-95.2417,13.164371
PWG,SSP585,0.99,9.955558707047032,7.061936048000532,16.431394122923493,31.48492,-97.31653,180.0
HYI,SSP585,0.99,11.002407641225052,6.777624708433163,18.244493470666388,29.89275,-97.863,182.0
BRO,SSP585,0.99,8.138087239308575,6.638941457231389,11.076206329888882,25.91461,-97.42313,6.0
3T5,SSP585,0.99,8.195504370642945,6.180772241399894,13.026795196446274,29.91,-96.95,99.0
GYB,SSP585,0.99,8.133001398488622,5.965794476108868,12.81112933845618,30.17,-96.98,148.0
ADS,SSP585,0.99,7.99501052521438,5.045211144165599,14.75973601725845,32.96856,-96.83645,196.0
HLR,SSP585,0.99,9.895889352558704,6.926967954787043,16.70226478637289,31.1387,-97.7145,283.0
AXH,SSP585,0.99,8.844280041122008,6.4029158554520285,16.304267623216056,29.50614,-95.47692,20.7
AFW,SSP585,0.99,7.641845886956683,5.238771393566365,11.88460505847744,32.9716,-97.31788,204.81914
GYI,SSP585,0.99,9.38837740895221,6.120411390014504,19.869275759100702,33.71411,-96.67367,228.0
RAS,SSP585,0.99,8.759077635116254,4.692389380138279,15.18490231310613,27.81,-97.09,2.0
TYR,SSP585,0.99,8.558720617174204,6.256465229805589,13.215121278377394,32.35414,-95.40239,166.0
VCT,SSP585,0.99,9.148069290199802,7.01051483096161,13.687290635219778,28.8614,-96.9303,36.0
COM,SSP585,0.99,7.349420431236695,4.063806617826324,10.578502720454498,31.84114,-99.40361,517.2
6R6,SSP585,0.99,6.816138194452465,4.639947628136488,10.097223259026084,30.04602,-102.21291,702.0
ATT,SSP585,0.99,7.348129670074577,6.414488222184231,8.21277216838775,30.32081,-97.76042,203.0
FST,SSP585,0.99,6.805013398743762,5.651242404962503,9.171111388467454,30.91194,-102.91667,917.0
UTS,SSP585,0.99,8.945876697584831,6.713391853881582,13.660563423271318,30.74689,-95.58717,112.0
INJ,SSP585,0.99,7.1446314454330695,4.458666498284492,9.905419831152289,32.08361,-97.09722,209.0
ECU,SSP585,0.99,7.74465276256487,5.323085800251687,14.401500430550447,29.94692,-100.17385,723.0
HRX,SSP585,0.99,8.451550785542961,5.325587094903733,16.618311426220608,34.85776,-102.32641,1153.0
JCT,SSP585,0.99,8.110033318185893,6.408496253620927,13.64955412880089,30.51083,-99.76639,522.0
F05,SSP585,0.99,7.635261016032747,5.878600707548587,11.653844537246966,34.22567,-99.28375,386.0
RPH,SSP585,0.99,7.53022028519042,5.881739280235584,12.126249775435904,33.11,-98.555,344.0
PIL,SSP585,0.99,9.93851266169095,6.7032411490814265,21.18969739191026,26.1597,-97.33781,6.0
RKP,SSP585,0.99,11.501071785425312,6.818019146578054,26.034956315841978,28.08361,-97.04639,8.0
T82,SSP585,0.99,8.932149736684742,6.500389575980833,14.583733244150135,30.24325,-98.90919,517.0
PEZ,SSP585,0.99,6.904018367331178,3.86724578992325,9.168787637642474,28.95419,-98.51998,131.1
SJT,SSP585,0.99,7.211037008855587,5.877980735879665,10.211240601738869,31.35167,-100.495,582.0
AQO,SSP585,0.99,7.754329737180856,5.746895802907253,11.655086717863902,30.78361,-98.66194,336.0
LUD,SSP585,0.99,8.02248364162532,6.129361218087635,12.278637334139054,33.25425,-97.5805,319.0
PYX,SSP585,0.99,7.551480602040526,5.363045184894412,11.636827113669582,36.414,-100.75,889.0
GPM,SSP585,0.99,7.079227371545931,5.155349589184211,10.534756382827045,32.69878,-97.04692,180.0
BPC,SSP585,0.99,6.780396684059027,3.187737857263081,13.632730636718549,35.88928,-101.03014,845.0
BKD,SSP585,0.99,7.970587695509641,5.888645622932319,12.534161185097558,32.71905,-98.891,391.4
PSX,SSP585,0.99,8.558679926484837,5.574045544353207,13.122769811988231,28.73,-96.25,5.0
COT,SSP585,0.99,9.026449440391549,6.418785326156804,16.330864668495032,28.45667,-99.21833,144.0
CRP,SSP585,0.99,9.582881403971236,7.120743738353235,14.61442021827671,27.77306,-97.51278,13.0
GOP,SSP585,0.99,9.322705582015091,6.308372691694313,16.84808316665581,31.42128,-97.79697,276.0
SWW,SSP585,0.99,8.846687397013492,5.993508372303735,17.246204244458397,32.46736,-100.46656,727.0
MAF,SSP585,0.99,6.520544608647119,5.779210257953039,8.206590084687505,31.94662,-102.20745,868.9406
MCJ,SSP585,0.99,7.47248615372063,5.172578766522758,10.434847113957224,29.714,-95.395,22.525835
ERV,SSP585,0.99,11.790736289763286,6.391960300557258,33.774200116060605,29.97667,-99.08547,493.0
JDD,SSP585,0.99,7.245328737986816,5.509380344515892,11.398026386308256,32.7422,-95.49648,132.0
MKN,SSP585,0.99,10.052790875013946,6.35087123176316,19.24498934005189,31.92,-98.6,423.0
MNZ,SSP585,0.99,7.823735175768237,3.8314879806451567,13.62850005239754,31.66593,-98.14864,395.9
RWV,SSP585,0.99,18.30416044837764,6.651591960278045,54.15816522522415,30.51547,-96.70409,119.0
SSF,SSP585,0.99,9.145325577917529,6.726279428671238,15.262250819213868,29.33698,-98.47105,176.0
HOU,SSP585,0.99,10.644492837095386,7.506039015086276,16.095627776905125,29.63747,-95.28245,14.0
LBB,SSP585,0.99,8.485559791512856,6.065735224904518,20.29980627357358,33.66364,-101.82278,988.0
NGP,SSP585,0.99,9.184142155489342,7.088936525443861,15.47873111874005,27.69263,-97.29109,6.0
6R3,SSP585,0.99,10.313443799000517,5.173934449103973,18.76503304825529,30.35644,-95.008,45.7
FTN,SSP585,0.99,7.681125139275393,5.063916610281872,12.892462172847072,28.2086,-100.0188,236.0
FTW,SSP585,0.99,7.125054954056116,5.885425111794543,8.370364659053076,32.81978,-97.36244,216.0
ALI,SSP585,0.99,9.205963140604716,6.612070976111268,15.23967663163758,27.74089,-98.02694,54.0
BEA,SSP585,0.99,8.321327430411706,5.489854604205116,15.882828219758986,28.36187,-97.79103,81.7
ELP,SSP585,0.99,5.789756261657765,4.44726270172936,7.488638730564412,31.81111,-106.37583,1194.0
JWY,SSP585,0.99,7.451234167579794,3.9152042705017736,12.495986635256852,32.45611,-96.9125,217.0
MRF,SSP585,0.99,21.940161942539262,5.682387663223093,91.64159549555076,30.37,-104.02,1481.0
